FEATURE ANALYSIS
=====================================================================================================================================================================================================================================================
Section 1 = Individual (duplicated)   |   Section 2 = Accumulated w/ descendants (duplicated)   ||   Section 3 = Deduplicated (each physical source line counted once)
=====================================================================================================================================================================================================================================================

                                                             --- Individual (dup) ---                  |                --- Accumulated (dup) ---                ||       -- Dedup Individual --         |       -- Dedup Accumulated --      
Feature                                           LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang  |     LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang ||     LOC    LLOC    LOC%   LLOC%  |     LOC    LLOC    LOC%   LLOC%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----Authenticate_with_Device                       72      55    0.07    0.07       6       6     1.03  |      72      55    0.07    0.07       6       6     1.03 ||      72      55    0.07    0.07  |      72      55    0.07    0.07
----User_Login                                    171     157    0.16    0.21       6       6     1.81  |     188     173    0.18    0.23       6       6     1.82 ||     171     157    0.16    0.21  |     171     157    0.16    0.21
-----Admin_Login                                   17      16    0.02    0.02       1       1     2.00  |      17      16    0.02    0.02       1       1     2.00 ||      17      16    0.02    0.02  |      17      16    0.02    0.02
----User_Logout                                     6       6    0.01    0.01       1       1     2.17  |       6       6    0.01    0.01       1       1     2.17 ||       6       6    0.01    0.01  |       6       6    0.01    0.01
----User_Check                                     10       7    0.01    0.01       1       1     1.00  |      10       7    0.01    0.01       1       1     1.00 ||      10       7    0.01    0.01  |      10       7    0.01    0.01
---One_Time_Password                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Certificate_Authentication                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Multifactor_Authentication                       0       0    0.00    0.00       0       0     0.00  |      38      29    0.04    0.04       4       4     1.32 ||       0       0    0.00    0.00  |      38      29    0.04    0.04
----TOTP_Authentication                            38      29    0.04    0.04       4       4     1.32  |      38      29    0.04    0.04       4       4     1.32 ||      38      29    0.04    0.04  |      38      29    0.04    0.04
---Single_Sign_On                                   0       0    0.00    0.00       0       0     0.00  |     282     191    0.27    0.26       7       7     1.20 ||       0       0    0.00    0.00  |     282     191    0.27    0.26
----SSO_Authentication                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----OpenID_Authentication                         282     191    0.27    0.26       7       7     1.20  |     282     191    0.27    0.26       7       7     1.20 ||     282     191    0.27    0.26  |     282     191    0.27    0.26
---Authenticator                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----FallbackToSimpleAuth                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Auth_Modules                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_SPNEGO                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Handler                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Kerberos_Authentication_Handler                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------SecurityEnabled                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Pseudo_Authentication_Handler                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Anonymous_Users_Allowed                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----LDAP_Authentication_Handler                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Multi_Scheme_Authentication_Handler            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----JWT_Authentication_Handler                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authentication_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---URL_Authentication                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authentication_Token                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Token_Audience                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Authentication_Token_Audience_Validation       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Token_Validation                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Token_Verification               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Token_Inactive_Interval          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Token_Generation                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Token_Renewal                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----External_Service_Token                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Access_Token                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
