FEATURE ANALYSIS
=====================================================================================================================================================================================================================================================
Section 1 = Individual (duplicated)   |   Section 2 = Accumulated w/ descendants (duplicated)   ||   Section 3 = Deduplicated (each physical source line counted once)
=====================================================================================================================================================================================================================================================

                                                             --- Individual (dup) ---                  |                --- Accumulated (dup) ---                ||       -- Dedup Individual --         |       -- Dedup Accumulated --      
Feature                                           LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang  |     LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang ||     LOC    LLOC    LOC%   LLOC%  |     LOC    LLOC    LOC%   LLOC%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------Backup_Public_Key                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-------Backup_Public_Key_Exception                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Public_Key                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Group_Keys                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Idempotency_Key                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Idempotency_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Signature                                         0       0    0.00    0.00       0       0     0.00  |      29      29    0.03    0.04       1       1     2.07 ||       0       0    0.00    0.00  |      29      29    0.03    0.04
---Signing                                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Signature_Signing                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Token_Signing                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Cookie_Signing                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Request_Signing                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Secret_Provider                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Signature_Key                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Generation                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----RSA_Sign                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Validation                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Verification                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signing_Exception                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Status_Code                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Message_Signing                                  0       0    0.00    0.00       0       0     0.00  |      14      14    0.01    0.02       1       1     2.07 ||       0       0    0.00    0.00  |      14      14    0.01    0.02
----ECDSA_Signature_Signing                        14      14    0.01    0.02       1       1     2.07  |      14      14    0.01    0.02       1       1     2.07 ||      14      14    0.01    0.02  |      14      14    0.01    0.02
---Certification                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Certificates                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Exception                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificates_Verification                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Generation                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Expiration                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----X509_Certificate                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Client_Certificate                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Root_Certificate                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Delivery_Certificates                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Message_Authentication                           0       0    0.00    0.00       0       0     0.00  |      15      15    0.01    0.02       1       1     2.07 ||       0       0    0.00    0.00  |      15      15    0.01    0.02
----Message_Authentication_Code                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authenticated_Encryption                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Cipher_State_Pair                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Authenticated_Decryption                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----ECDSA_Signature_Verification                   15      15    0.01    0.02       1       1     2.07  |      15      15    0.01    0.02       1       1     2.07 ||      15      15    0.01    0.02  |      15      15    0.01    0.02
---Digital_Watermarking                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Backup_Signature                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Exception                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Credential_Signing                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Policy_Signing                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---RSA_Signing                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Steganography                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Encoding                                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Base64_Encoding                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Hex_Encoding                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Signatures                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Management                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Check                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-Security_Monitoring                                0       0    0.00    0.00       0       0     0.00  |     185     153    0.17    0.21      10      10     1.37 ||       0       0    0.00    0.00  |     161     131    0.15    0.18
--Authentication_Retry_Count                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Audit                                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Access_Check_Audits                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Management_Auditing                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Logging                                           0       0    0.00    0.00       0       0     0.00  |     185     153    0.17    0.21      10      10     1.37 ||       0       0    0.00    0.00  |     161     131    0.15    0.18
---Authentication_Logging                          26      24    0.02    0.03       2       2     2.08  |      26      24    0.02    0.03       2       2     2.08 ||      26      24    0.02    0.03  |      26      24    0.02    0.03
---Authentication_Token_Validation_Logging          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authentication_Audience_Validation_Logging       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authentication_Token_Expiration_Logging          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Logging                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Access_Control_Metrics                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Cryptography_Logging                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Signature_Logging                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Signature_Validation_Logging                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Session_Management_Logging                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Logging_Auth_Migration                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Logging_Authentication                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Logging_Authorization                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Logging_Certificate                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Exceptions                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Authentication_Exception                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----ACL_Exception                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Password_Recovery_Logging                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Backup_Expiration_Logging                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Permission_Logging                               4       4    0.00    0.01       1       1     3.00  |       4       4    0.00    0.01       1       1     3.00 ||       4       4    0.00    0.01  |       4       4    0.00    0.01
---Access_Logging                                  37      29    0.03    0.04       3       3     1.03  |      37      29    0.03    0.04       3       3     1.03 ||      37      29    0.03    0.04  |      37      29    0.03    0.04
---Action_Logging                                 113      91    0.11    0.12       5       5     1.23  |     113      91    0.11    0.12       5       5     1.23 ||     113      91    0.11    0.12  |     113      91    0.11    0.12
---Permission_Change_Logging                        5       5    0.00    0.01       3       3     2.20  |       5       5    0.00    0.01       3       3     2.20 ||       5       5    0.00    0.01  |       5       5    0.00    0.01
--Automated_Response                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--History_Maintenance                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--login_attempt_notification                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Account_Access_Verification                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-Secure_Data_Handling                               0       0    0.00    0.00       0       0     0.00  |    1033     888    0.97    1.21      84      84     1.22 ||       0       0    0.00    0.00  |    1032     887    0.97    1.20
--Domain_Socket_Security_Validation                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Data_Validation                                   0       0    0.00    0.00       0       0     0.00  |     320     289    0.30    0.39      65      65     1.01 ||       0       0    0.00    0.00  |     319     288    0.30    0.39
---Input_Validation                                 0       0    0.00    0.00       0       0     0.00  |     320     289    0.30    0.39      65      65     1.01 ||       0       0    0.00    0.00  |     319     288    0.30    0.39
----Blacklisting                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Config_Blacklisting                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Whitelisting                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Authentication_Whitelist                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Upload_Policy                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Request_Filter                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Download_Verification                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Credential_Input_Validation                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----ACL_Input_Validation                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Authorization_Input_Validation             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Policy_Input_Validation                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Type_Validation                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Topic_Validation                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Attribute_Validation                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Checksum                                      300     274    0.28    0.37      65      65     1.00  |     300     274    0.28    0.37      65      65     1.00 ||     300     274    0.28    0.37  |     300     274    0.28    0.37
----Imei_Validation                                20      15    0.02    0.02       1       1     1.05  |      20      15    0.02    0.02       1       1     1.05 ||      20      15    0.02    0.02  |      20      15    0.02    0.02
---Output_Validation                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Transaction_Validation                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Data_Sanitization                                 0       0    0.00    0.00       0       0     0.00  |       7       7    0.01    0.01       1       1     1.00 ||       0       0    0.00    0.00  |       7       7    0.01    0.01
---Input_Sanitization                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Request_Validation                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----String_Sanitization                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----String_Escaping                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Spam_Filter                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Output_Sanitization                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Config_Redaction                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Parameterized_Prepared_Statement                 7       7    0.01    0.01       1       1     1.00  |       7       7    0.01    0.01       1       1     1.00 ||       7       7    0.01    0.01  |       7       7    0.01    0.01
--Retention_Control                                 0       0    0.00    0.00       0       0     0.00  |     140     102    0.13    0.14      11      11     1.28 ||       0       0    0.00    0.00  |     140     102    0.13    0.14
---Token_Expiration                               101      78    0.10    0.11      10      10     1.39  |     101      78    0.10    0.11      10      10     1.39 ||     101      78    0.10    0.11  |     101      78    0.10    0.11
----Invalid_Token_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Backup_Expiration                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Backup_Deletion                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Log_Rotation                                    39      24    0.04    0.03       2       2     1.00  |      39      24    0.04    0.03       2       2     1.00 ||      39      24    0.04    0.03  |      39      24    0.04    0.03
--Secure_Storage                                    7       7    0.01    0.01       1       1     3.14  |     529     462    0.50    0.63       5       5     1.35 ||       7       7    0.01    0.01  |     529     462    0.50    0.63
---QualityOfProtection                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Spill_Encryption                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Storage_Authentication                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Storage_Authorization                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Secure_Storage_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Backup                                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Memory_Storage                                 160     132    0.15    0.18       3       3     1.17  |     160     132    0.15    0.18       3       3     1.17 ||     160     132    0.15    0.18  |     160     132    0.15    0.18
---Database_Storage                               362     323    0.34    0.44       2       2     1.40  |     362     323    0.34    0.44       2       2     1.40 ||     362     323    0.34    0.44  |     362     323    0.34    0.44
--Trusted_Sources                                   0       0    0.00    0.00       0       0     0.00  |      37      28    0.03    0.04       4       4     1.00 ||       0       0    0.00    0.00  |      37      28    0.03    0.04
---Time_Source                                      0       0    0.00    0.00       0       0     0.00  |      37      28    0.03    0.04       4       4     1.00 ||       0       0    0.00    0.00  |      37      28    0.03    0.04
----Server_Time                                    37      28    0.03    0.04       4       4     1.00  |      37      28    0.03    0.04       4       4     1.00 ||      37      28    0.03    0.04  |      37      28    0.03    0.04
---Source_of_Randomness                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----SecureRandom                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--User_Discoverability                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Anonymous_Operations                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authentication_Interception                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Anonymity_Check                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Nonanonymity_Exception                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-System_State_Protection                            0       0    0.00    0.00       0       0     0.00  |     380     333    0.36    0.45      22      22     1.43 ||       0       0    0.00    0.00  |     376     329    0.35    0.45
--SecurityException                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--CSRF_Filter                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Clickjacking_Prevention                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Cyclic_Redundancy_Check                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Resource_Management                               0       0    0.00    0.00       0       0     0.00  |      31      29    0.03    0.04       3       3     1.00 ||       0       0    0.00    0.00  |      31      29    0.03    0.04
---Load_Balancing                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Rate_Limiting                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Rate_Limiting_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Rate_Limiting_Response_Code                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Captcha                                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Captcha_Verification                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Captcha_Result                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Captcha_Configuration                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Log_Limit                                       31      29    0.03    0.04       3       3     1.00  |      31      29    0.03    0.04       3       3     1.00 ||      31      29    0.03    0.04  |      31      29    0.03    0.04
--System_State_Validation                           0       0    0.00    0.00       0       0     0.00  |     135     116    0.13    0.16       9       9     1.15 ||       0       0    0.00    0.00  |     135     116    0.13    0.16
---Permission_Type_Validation                      10      10    0.01    0.01       1       1     2.10  |      10      10    0.01    0.01       1       1     2.10 ||      10      10    0.01    0.01  |      10      10    0.01    0.01
---Invalidate_Object                              125     106    0.12    0.14       8       8     1.07  |     125     106    0.12    0.14       8       8     1.07 ||     125     106    0.12    0.14  |     125     106    0.12    0.14
--Session_Management                                0       0    0.00    0.00       0       0     0.00  |     195     169    0.18    0.23      11      11     1.73 ||       0       0    0.00    0.00  |     191     165    0.18    0.22
---Authentication_Cookie                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Cookie_Validation                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Cookie_Verification                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Cookie_Check                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Cookie_Header                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Cookie_Persistence                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
